Id,Codigo,Descricao,Ativo,Unid,Custo,Preco,Estoque
11a308cd-6524-4007-ac28-df37b8763eba,7899583314757,"DISCO CORTE PORC TURBO 4.1/2"" 110X22MM SÃO GABRIEL",1,UN,"14,21","31,25",0
2e8ac28f-11ad-4202-be73-52b38bb1e333,7898143455961,"DISCO CORTE PORC TURBO 4.3/8"" 110X20MM DTOOLS",1,UN,"15,9033","31,8066",2
d7257936-ffb1-4fe2-b6a9-388849650335,7898578165534,"DISCO CORTE PORC TURBO 4.3/8"" 110X20MM VILA",1,UN,"13,8","24,85",0
16208dc1-dd94-49cf-a190-781f5eaf61ec,7899106100041,"DISCO CORTE REFRAT 2 TELAS 4,5"" 114X3,2X22,2 ICDER",1,UN,"5,27","10,55",1
1fbc0341-83e3-40ac-a34d-e4d8ac81ab1d,7899106100089,"DISCO CORTE REFRAT 2 TELAS 7"" 177X3,2X22,2 ICDER",1,UN,"7,9867","15,9734",3
51cea750-42a6-447b-92b2-3bb97275d222,7899106100119,"DISCO CORTE REFRAT 2 TELAS 9"" 228X3,2X22,2 ICDER",1,UN,"13,45","26,9",1
4169f0bf-50cd-43a6-bc6e-0f5722a4fd12,7908359202348,"DISCO CORTE VIDRO DIAM 115MMX1,8MM MULTICERTO",1,UN,"36,71","66,08",0
8c9be55a-4c08-4d64-92f2-4605f1453b30,7898143444606,"DISCO DESBASTE AÇO 4.1/2"" 115X4,8X22MM DTOOLS",1,UN,"3,6925",10,9
19b0f27f-8fbd-42e3-9417-dc78dd951637,7891345205563,"DISCO DESBASTE AÇO 4.1/2"" 115X4,8X22MM NORTON",1,UN,"9,495",19,3
7892f89a-2fd8-468a-aeca-0041438a1077,7892261620393,"DISCO DESBASTE AÇO 4.1/2"" 115X6,4X22 CISER",1,UN,"3,62",8,0
77376a9b-ff58-4bac-adee-cbdc7872a647,7899106100294,"DISCO DESBASTE AÇO 7"" 177X6,4X22 ICDER",1,UN,"10,45","20,9",1
7c379f5b-193f-4c18-b2ed-90c432c33c63,7898143453868,DISCO DESBASTE DIAM ALVENARIA 4.1/2 115X22 DTOOLS,1,UN,"44,1","88,2",2
76c59d22-a170-4732-a815-b456ec113581,7898143455404,"DISCO DESBASTE MAD 85X22,23MM DTOOLS",1,UN,"28,115","56,23",1
9b1986a2-d2ae-4ec4-9fcf-d270972a1255,7898143456487,DISCO FIBRA ABRASIVA 4.1/2 DTOOLS,1,UN,"20,81","37,458",1
6e620e76-0fa2-40be-8d09-a45e10bc330e,7898143453875,"DISCO FLAP 4.1/2"" AÇO G100 115X22MM DTOOLS",1,UN,"4,46","9,83",2
0ed1cb32-b36f-4283-8714-ff34f2669fc6,7898143453837,"DISCO FLAP 4.1/2"" AÇO G100 115X22MM DTOOLS",1,UN,"5,2529","11,5564",8
be0525f1-0ba8-439c-9586-fdd676888a15,7898143453851,"DISCO FLAP 4.1/2"" AÇO G150 115X22MM DTOOLS",1,UN,"5,2525","11,5555",2
caa93f05-4b88-4486-add5-af75f2545df4,7898143453813,"DISCO FLAP 4.1/2"" AÇO G60 115X22MM DTOOLS",1,UN,"5,253","11,5566",8
a5a18e71-00ac-47f3-8f13-07e2bc8325e9,7898143453820,"DISCO FLAP 4.1/2"" AÇO G80 115X22MM DTOOLS",1,UN,"5,2533","11,5573",5
c860e26a-4872-44b1-b9f6-e1668e9fd8cd,7892261620034,"DISCO FLAP 4.1/2"" G120 115X22MM CISER",1,UN,"3,06","6,8",0
e12344ef-431c-490b-8be9-70a8093c5e70,7898143453844,"DISCO FLAP 4.1/2"" G120 115X22MM DTOOLS",1,UN,"5,252","11,5544",5
5420d900-ab88-45c6-962d-5cfb9b0f4a35,7893946533342,"DISCO FLAP 4.1/2"" G40 115X22MM 954",1,UN,"2,82","6,204",0
d66ac15f-8f18-4fa6-b648-18f44168a65b,7898143444859,"DISCO FLAP 4.1/2"" G40 115X22MM DTOOLS",1,UN,"4,206","9,2532",1
d5752b12-3f92-4373-a991-6b36c88235d0,7899583300224,"DISCO FLAP 4.1/2"" G40 115X22MM MISTER",1,UN,"4,006","10,015",0
17a2d90a-afbe-4bc8-8e94-4a4be8b39082,7899612714565,"DISCO FLAP 4.1/2"" G40 115X22MM MTX",1,UN,"4,21","9,5",0
072c929e-1c66-4698-807d-c7bc445b7cec,7892261620010,"DISCO FLAP 4.1/2"" G60 115X22MM CISER",1,UN,"3,06","6,8",0
50ac44c7-2465-409c-996e-6049197b8f70,7893946533403,"DISCO FLAP 4.1/2"" G80 115X22MM 954",1,UN,"3,39","6,8",0
9b36b040-d976-4940-96cd-f7f1197d1ea2,7897451416695,"DISCO FLAP 4.1/2"" PEDRA ALVEN G120 115X22MM CORTAG",1,UN,"3,87","8,51",7
bce9b6d0-4873-42fe-86bb-94ce7be974ca,7897451416671,"DISCO FLAP 4.1/2"" PEDRA/ALVEN G60 115X22MM CORTAG",1,UN,"3,87","8,51",9
3c4bcd9c-7597-4db5-a914-c75d2d729719,7897451416688,"DISCO FLAP 4.1/2"" PEDRA/ALVEN G80 115X22MM CORTAG",1,UN,"3,87","8,51",9
ea82dc18-66b5-41f4-86f4-5a99ca1effbc,7898143445214,"DISCO FLAP 7"" AÇO G60 DTOOLS",1,UN,"9,93","21,85",1
a8285dda-266b-4b41-89a5-524858fa470e,7898143442954,"DISCO FLAP 7"" AÇO G80 DTOOLS",1,UN,"9,98","21,96",2
36a46484-d469-401b-8b1e-0862102e15d5,7898143442763,DISCO SERRA CIRC C/VÍD 7.1/4 24D 185X20MM DTOOLS,1,UN,"20,015","44,033",0
1e9077d2-8ec6-43bf-8360-f8ba9b1f3447,7898143444583,DISCO SERRA CIRC C/VÍD 9.1/4 40D 235X25MM DTOOLS,1,UN,"39,12","70,416",1
7e0f86ee-9b2b-4a25-b71c-b3f841952b59,7893401194576,DISJUNTOR DIN BRANCO 1X10A CURVA C STECK,1,UN,"5,336","10,672",3
66d971b1-6a3c-4c33-bb65-8b46d86cd55b,7891435966329,DISJUNTOR DIN BRANCO 1X10A TDJ3 CURVA C TRAMO,1,UN,"6,11","12,22",0
7d786e80-e8b3-4e8a-b48d-59ae4e098b82,7892327521756,DISJUNTOR DIN BRANCO 1X16A CURVA C SOPRANO,1,UN,"7,26","13,07",0
ce7f50f8-1ed7-491d-8842-90bd467a9c85,7893401194583,DISJUNTOR DIN BRANCO 1X16A CURVA C STECK,1,UN,"6,3395","11,4111",7
619b89e1-a15c-4082-88d7-3035a26c6da9,7891435966336,DISJUNTOR DIN BRANCO 1X16A TDJ3 CURVA C TRAMO,1,UN,"7,35","13,5975",3
cc8c2655-cf5c-4df8-a1fe-7bb5d6f0b18a,7891435094299,DISJUNTOR DIN BRANCO 1X16A TR3KA CURVA C TRAMO,1,UN,"6,8","13,6",0
27aa9e38-daed-4281-a8c8-2a9f7b7521e8,7893401194590,DISJUNTOR DIN BRANCO 1X20A CURVA C STECK,1,UN,"6,335","11,403",2
9f05c1e7-dd74-4897-97ee-e171d8cc8662,7891435966343,DISJUNTOR DIN BRANCO 1X20A TDJ3 CURVA C TRAMO,1,UN,"7,28","13,468",3
bd30958d-50b5-49ff-bc0a-64e25486c551,7893401194606,DISJUNTOR DIN BRANCO 1X25A CURVA C STECK,1,UN,"7,09","12,762",2
